ID,Bca,Vol. sample,Accounting for dilution,In ug ul,To make 100 ul 1ug/ul,6x sample buffer,Water
957-1,389.0,2.0,1945.0,1.9,51.4,16.7,31.9
957-4,476.3,2.0,2381.5,2.4,42.0,16.7,41.3
982-4,479.1,2.0,2395.3,2.4,41.7,16.7,41.6
982-1,302.6,2.0,1513.2,1.5,66.1,16.7,17.2
1026-3,434.0,2.0,2170.2,2.2,46.1,16.7,37.3
1026-4,380.7,2.0,1903.7,1.9,52.5,16.7,30.8
970-5,456.1,2.0,2280.4,2.3,43.9,16.7,39.5
970-4,492.8,2.0,2464.2,2.5,40.6,16.7,42.8
1187-3,379.8,2.0,1899.1,1.9,52.7,16.7,30.7
1187-2,376.1,2.0,1880.7,1.9,53.2,16.7,30.2
1187-5,563.6,2.0,2817.9,2.8,35.5,16.7,47.8
1187-6,286.1,2.0,1430.5,1.4,69.9,16.7,13.4
12003-5,309.1,2.0,1545.4,1.5,64.7,16.7,18.6
12003-4,451.5,2.0,2257.4,2.3,44.3,16.7,39.0
1237-7,508.5,2.0,2542.3,2.5,39.3,16.7,44.0
1237-1,259.5,2.0,1297.3,1.3,77.1,16.7,6.2
1119-2,555.3,2.0,2776.6,2.8,36.0,16.7,47.3
1248-6,271.4,2.0,1357.0,1.4,73.7,16.7,9.6